SUBMISSIONYEARQUARTER,PWSID,SAMPLE_ID,SAMPLING_END_DATE,SAMPLING_START_DATE,RECONCILIATION_ID,SAMPLE_FIRST_REPORTED_DATE,SAMPLE_LAST_REPORTED_DATE,SAR_ID,CONTAMINANT_CODE,RESULT_SIGN_CODE,SAMPLE_MEASURE,UNIT_OF_MEASURE,SAR_FIRST_REPORTED_DATE,SAR_LAST_REPORTED_DATE
2025Q1,GA0470002,GA44400,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496730,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA2910062,GA45784,12/31/2015,01/01/2013,,12/10/2013,06/19/2019,17498461,PB90,,.0039,mg/L,12/10/2013,06/19/2019
2025Q1,GA2910066,GA45894,12/31/2013,01/01/2013,,12/10/2013,06/19/2019,17498466,PB90,,.0028,mg/L,12/10/2013,06/19/2019
2025Q1,GA2930015,GA44481,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17498469,PB90,,.0013,mg/L,12/10/2013,02/24/2014
2025Q1,GA2930016,GA44482,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17498470,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA2930046,GA44551,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17498471,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA2950000,GA44322,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17498472,PB90,,.003,mg/L,12/10/2013,08/24/2015
2025Q1,GA2950002,GA44215,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17498473,PB90,,.0076,mg/L,12/10/2013,08/24/2015
2025Q1,GA2950003,GA45793,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17498474,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA2970002,GA45237,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17498475,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA2970041,GA45036,12/31/2015,01/01/2013,,12/10/2013,06/19/2019,17498476,PB90,,0,mg/L,12/10/2013,06/19/2019
2025Q1,GA2990000,GA44890,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17498481,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA2990002,GA45322,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17498482,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA1750016,GA45625,12/31/2013,01/01/2011,,12/10/2013,02/24/2014,17497675,PB90,,.0045,mg/L,12/10/2013,02/24/2014
2025Q1,GA1750067,GA45276,12/31/2013,01/01/2011,,12/10/2013,02/24/2014,17497685,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA1750092,GA44194,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17497687,PB90,,.0026,mg/L,12/10/2013,02/24/2014
2025Q1,GA1770012,GA44218,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17497699,PB90,,.0014,mg/L,12/10/2013,02/24/2014
2025Q1,GA1770022,GA45027,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17497700,PB90,,.0013,mg/L,12/10/2013,02/24/2014
2025Q1,GA1790000,GA45220,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17497708,PB90,,.0043,mg/L,12/10/2013,08/24/2015
2025Q1,GA1790012,GA44335,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17497710,PB90,,.0034,mg/L,12/10/2013,02/24/2014
2025Q1,GA1790014,GA44207,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17497711,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290025,GA45299,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496506,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290029,GA44383,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496507,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290031,GA44146,12/31/2015,01/01/2013,,12/10/2013,06/19/2019,17496511,PB90,,0,mg/L,12/10/2013,06/19/2019
2025Q1,GA0290036,GA45302,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496512,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290064,GA44381,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496518,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290066,GA44324,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496519,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290069,GA44160,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496523,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290071,GA44206,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496524,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290072,GA44323,12/31/2015,01/01/2013,,12/10/2013,12/20/2022,17496529,PB90,,.017,mg/L,12/10/2013,12/20/2022
2025Q1,GA0290076,GA44315,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496537,PB90,,.0037,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290078,GA45300,12/31/2013,01/01/2013,,12/10/2013,02/24/2014,17496539,PB90,,.004,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290085,GA44316,12/31/2015,01/01/2013,,12/10/2013,06/19/2019,17496549,PB90,,.0118,mg/L,12/10/2013,06/19/2019
2025Q1,GA0290086,GA44310,12/31/2013,01/01/2013,,12/10/2013,06/19/2019,17496550,PB90,,0,mg/L,12/10/2013,06/19/2019
2025Q1,GA0310000,GA44318,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496557,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA0310001,GA45323,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496558,PB90,,.004,mg/L,12/10/2013,02/24/2014
2025Q1,GA0310004,GA44944,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17496559,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA0310006,GA45065,12/31/2015,01/01/2013,,12/10/2013,02/16/2015,17496560,PB90,,.0033,mg/L,12/10/2013,02/16/2015
2025Q1,GA0310013,GA45274,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496561,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0310016,GA44510,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496562,PB90,,.0048,mg/L,12/10/2013,02/24/2014
2025Q1,GA0310028,GA44863,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496563,PB90,,0,mg/L,12/10/2013,02/24/2014
